strain,description
1188121,Aspergillus tsurutae IBT 34206 Annotated Minimal Draft
1097598,Aspergillus turcosus IBT 27921 Annotated Minimal Draft
1187877,Aspergillus udagawae CBS 114217 Annotated Minimal Draft
1188137,Aspergillus umbrosus CBS 117.46 Annotated Minimal Draft
1052188,Aspergillus undulatus CBS 261.88 Annotated Standard Draft
1097510,Aspergillus varians CBS 505.65 Annotated Minimal Draft
1187881,Aspergillus viridinutans CBS 127.56 Annotated Minimal Draft
1188125,Aspergillus waksmanii IBT 31900 Annotated Minimal Draft
1060057,Aspergillus welwitchiae CBS 139.54b Annotated Standard Draft
1188021,Aspergillus westerdijkiae CBS 112803 Annotated Minimal Draft
1097346,Aspergillus westlandensis CBS 123905 Annotated Minimal Draft
1187961,Aspergillus xerophilus CBS 938.73 Annotated Minimal Draft
1188177,Penicillium antarcticum DTO 356-E5 Annotated Minimal Draft
1187965,Penicillium malodoratum CBS 490.65 Annotated Minimal Draft
1097418,Penicillium solitum IBT 30036 Annotated Minimal Draft
1187937,Penicillium sp. DTU1 Annotated Minimal Draft
